datetime,y,week,soldout,name,kcal,remarks,event,payday,weather,precipitation,temperature
2014-4-7,107,月,0,青梗菜牛肉炒め,387.0,,,,快晴,--,13.8
2014-4-11,128,金,1,チキンカレー,,お楽しみメニュー,,,快晴,--,16.5
2014-4-17,57,木,0,牛丼風煮,333.0,,,,快晴,--,20.1
2014-4-21,109,月,0,牛肉筍煮,375.0,,キャリアアップ支援セミナー,,曇,--,16.4
2014-4-25,80,金,0,中華丼,,お楽しみメニュー,,,晴れ,--,20.8
2014-4-30,97,水,1,豚味噌メンチカツ,368.0,,,,雨,0.5,17.5
2014-5-7,88,水,1,肉じゃが,415.0,,,,晴れ,--,18.9
2014-5-12,73,月,0,きのこソースハンバーグ,400.0,,,,薄曇,--,22.7
2014-5-16,126,金,0,ポークカレー,,お楽しみメニュー,ママの会,,快晴,--,23.8
2014-5-21,104,水,1,チーズハンバーグ,430.0,,,,雨,6,17.4
2014-5-27,79,火,0,牛肉すき焼き風,423.0,,,,曇,--,23.7
2014-5-30,119,金,0,チキンカレー,,お楽しみメニュー,,,薄曇,--,26.9
2014-6-6,93,金,0,手作りロースカツ,430.0,,,,雨,6.5,19.9
2014-6-13,121,金,0,キーマカレー,,お楽しみメニュー,,,晴れ,--,29.5
2014-6-18,66,水,1,ビーフストロガノフ,426.0,料理長のこだわりメニュー,,,雨,0,21.9
2014-6-23,72,月,0,マーボ茄子,421.0,,,,曇,--,26.9
2014-6-25,64,水,1,豚の冷しゃぶ,420.0,,,,雨,0,25.2
2014-6-27,74,金,0,牛丼,,お楽しみメニュー,,,雨,0,25.4
2014-7-7,82,月,1,和風ハンバーグ,354.0,,,,雨,0.5,24.0
2014-7-11,124,金,0,ポークカレー,,お楽しみメニュー,,,晴れ,--,33.9
2014-7-16,53,水,1,白身魚フライ,434.0,,,,晴れ,--,30.9
2014-7-18,55,金,1,エビフライ,401.0,,,,曇,--,25.6
2014-7-25,83,金,0,ひやしたぬきうどん・炊き込みご飯,,お楽しみメニュー,,,晴れ,--,33.6
2014-7-31,60,木,0,鶏のから揚げスイートチリソース,386.0,,,,晴れ,--,32.5
2014-8-4,75,月,1,ハンバーグ（デミきのこバター）,410.0,,,,曇,--,32.7
2014-8-8,129,金,0,チキンカレー,,お楽しみメニュー,,1.0,曇,--,31.1
2014-8-18,56,月,0,洋食屋さんのメンチカツ,396.0,,,,曇,--,32.2
2014-8-20,56,水,0,豚ロースのピザ風チーズ焼き,423.0,料理長のこだわりメニュー,ママの会,,快晴,--,33.3
2014-8-22,100,金,1,ロコモコ丼,,お楽しみメニュー,,,晴れ,--,33.1
2014-8-26,68,火,0,キーマカレー,400.0,,,,雨,0,26.2
2014-9-2,68,火,1,名古屋味噌カツ,440.0,手作りの味,,,晴れ,--,29.1
2014-9-4,54,木,1,チキンステーキ・きのこソース,405.0,,,,曇,0,26.5
2014-9-8,68,月,1,鶏肉の山賊焼き,385.0,,,,曇,--,23.1
2014-9-12,115,金,0,ポークカレー,,お楽しみメニュー,,,晴れ,--,27.3
2014-9-24,59,水,1,白身魚のマスタード焼き,408.0,,,,曇,0,24.8
2014-9-29,56,月,1,豚肉と玉子の炒め,404.0,,,,快晴,--,26.6
